text1,text2,label,similarity_score
Austerity measures involve reducing government spending to reduce budget deficits.,Austerity measures involve reducing government spending as has been documented extensively in scientific literature.,1,0.53
Containerisation using Docker allows applications to run in isolated environments.,to run in isolated environments. Containerisation using Docker allows applications,1,0.67
Antibiotics should only be taken when prescribed to prevent antibiotic resistance.,Antibiotics should only be taken generally when prescribed to prevent antibiotic resistance.,1,0.92
Autonomous vehicles use sensors and AI to navigate without human input.,AI to navigate without human input. Autonomous vehicles use sensors and,1,0.82
Noise pollution from traffic and industry harms both human health and wildlife.,Noise pollution from traffic and industry harms both human health and wildlife.,1,0.84
Opportunity cost is the value of the next best alternative foregone.,The Maillard reaction causes the browning of food during cooking.,0,0.04
The global burden of non-communicable diseases is rising rapidly.,non-communicable diseases is rising rapidly. The global burden of,1,0.82
Plastic pollution has contaminated oceans and freshwater systems globally.,Plastic pollution has contaminated oceans and freshwater systems globally.,1,0.72
The suffragette movement fought for women's right to vote in the early 20th century.,The suffragette movement fought for women's right which is a key concept in this domain.,1,0.52
"The first modern Olympics were held in Athens, Greece in 1896.","The first modern Olympics were held in Athens, Greece in 1896.",1,0.87
Organ transplantation saves thousands of lives annually worldwide.,Organ transplantation saves typically thousands of lives annually worldwide.,1,0.93
Invasive species disrupt native ecosystems and cause economic damage.,Invasive species disrupt native ecosystems and cause economic damage.,1,0.88
Biodiversity refers to the variety of life forms found within a given ecosystem.,The literature confirms that biodiversity refers to the variety of life forms found within a given ecosystem.,1,0.72
Comparative advantage explains why countries specialise in producing certain goods.,Studies have shown that comparative advantage explains why countries specialise in producing certain goods.,1,0.82
Special educational needs require tailored support and inclusive classroom environments.,Special educational needs require tailored largely support and inclusive classroom environments.,1,0.98
Stars form from clouds of gas and dust collapsing under their own gravity.,Cruise ships carry thousands of passengers across oceans to multiple destinations.,0,0.02
A recession is defined as two consecutive quarters of negative GDP growth.,A recession is defined as two consecutive quarters of negative GDP growth.,1,0.86
Carbon capture technology removes CO2 from the atmosphere to reduce warming.,The art auction house sold the painting for a record-breaking sum at the gala.,0,0.01
The French Revolution began in 1789 with the storming of the Bastille prison.,The French Revolution began in 1789 and further study continues to refine our understanding.,1,0.6
Supply and demand determine the equilibrium price in a free market.,equilibrium price in a free market. Supply and demand determine the,1,0.92
Unemployment rate measures the percentage of the labour force without a job.,Unemployment rate measures the percentage of the labour force without a job.,1,0.91
Mindfulness meditation has been shown to reduce symptoms of anxiety and depression.,Mindfulness meditation has commonly been shown to reduce symptoms of anxiety and depression.,1,0.92
Smoking is the leading preventable cause of cancer and respiratory disease.,Smoking is the leading preventable cause and this has significant implications for modern research.,1,0.52
The Earth's core is composed primarily of iron and nickel.,It has been established that the Earth's core is composed primarily of iron and nickel.,1,0.79
